Time (s),Altitude (m),TAS (m/s),Fuel Remaining (kg)
324.5999999999981,10017.390270774937,266.1510186169727,20061.736676723118
324.6999999999981,10020.782261002536,266.205958752177,20061.45436778069
324.79999999999814,10024.173720856963,266.2641677599979,20061.17208131929
324.89999999999816,10027.564635263814,266.3191780098046,20060.88981983734
324.9999999999982,10030.955003481506,266.37422236910345,20060.607583335383
325.0999999999982,10034.344838891684,266.43254184924814,20060.3253693159
325.1999999999982,10037.734126574243,266.4876565450688,20060.043180277462
325.29999999999825,10041.122865783738,266.54280545840976,20059.761016220626
325.3999999999983,10044.511069738652,266.6012357607552,20059.478874647702
325.4999999999983,10047.898723674012,266.6564552335219,20059.19675805743
325.5999999999983,10051.28585658761,266.7117090323167,20058.91466395202
325.69999999999834,10054.672437976715,266.76699719271784,20058.63259483031
325.79999999999836,10058.05845110542,266.8255750904078,20058.350550692852
325.8999999999984,10061.443940888463,266.8809341075408,20058.0685290417
325.9999999999984,10064.828876835245,266.93632759542834,20057.786532375852
326.09999999999843,10068.213287910427,266.99175558985894,20057.504558197255
326.19999999999845,10071.597143631376,267.04721812667304,20057.222609005017
326.2999999999985,10074.9804270152,267.1059808555451,20056.94068479969
326.3999999999985,10078.363183183352,267.1615146221073,20056.658783083058
326.4999999999985,10081.745381665467,267.2170830410067,20056.37690635439
326.59999999999854,10085.127021699183,267.2726861482958,20056.09505461424
326.69999999999857,10088.508132209112,267.32832398008003,20055.813225364232
326.7999999999986,10091.888682736895,267.3839965725171,20055.531421103795
326.8999999999986,10095.268685678262,267.44298195148457,20055.24963933444
326.99999999999864,10098.648127050406,267.49872622404973,20054.967882555713
327.09999999999866,10102.027035750649,267.554505368196,20054.68614826902
327.1999999999987,10105.405381337225,267.6103194202957,20054.404438973997
327.2999999999987,10108.783163038519,267.66616841677455,20054.122754671207
327.3999999999987,10112.160409731723,267.7220523941115,20053.841092861898
327.49999999999875,10115.537090987258,267.7779713888385,20053.559456045874
327.5999999999988,10118.913235668755,267.8339254375414,20053.27784172428
327.6999999999988,10122.288796447974,267.89320914921393,20052.996252397024
327.7999999999988,10125.663789404809,267.9492354832956,20052.714688064658
327.89999999999884,10129.038243382023,268.00529698359475,20052.43314622817
327.99999999999886,10132.41212797094,268.06139368691504,20052.151629387627
328.0999999999989,10135.78547200062,268.1175256301139,20051.870135043908
328.1999999999989,10139.158245070705,268.17369285010284,20051.588665697192
328.29999999999893,10142.530475996491,268.2298953838476,20051.30721884825
328.39999999999895,10145.902134385977,268.2861332683681,20051.025796997365
328.499999999999,10149.273249040638,268.3424065407386,20050.7443976452
328.599999999999,10152.64378957686,268.3987152380879,20050.463023292148
328.699999999999,10156.013755204205,268.4550593975993,20050.181673938758
328.79999999999905,10159.383174703415,268.5114390565107,20049.900347085542
328.89999999999907,10162.752017703435,268.567854252115,20049.61904523305
328.9999999999991,10166.120312971041,268.6243050217597,20049.337765881675
329.0999999999991,10169.48803014366,268.68079140284743,20049.05651153208
329.19999999999914,10172.855197974042,268.73731343283583,20048.775279684556
329.29999999999916,10176.221786108126,268.79387114923776,20048.494072839865
329.3999999999992,10179.58782328458,268.85046458962137,20048.212888498198
329.4999999999992,10182.953279157899,268.9070937916101,20047.931729160417
329.5999999999992,10186.31820030458,268.9604245658549,20047.65059232661
329.69999999999925,10189.682538586134,269.01712329504124,20047.369480497746
329.7999999999993,10193.046322713422,269.0738578968123,20047.088391173806
329.8999999999993,10196.409522357786,269.1306284090109,20046.807326855866
329.9999999999993,10199.77213671098,269.1874348695358,20046.526287544482
330.09999999999934,10203.134194462558,269.2442773163418,20046.245270739477
330.19999999999936,10206.495665296772,269.3011557874399,20045.964278942083
330.2999999999994,10209.856577888828,269.3580703208972,20045.68330965202
330.3999999999994,10213.216901931692,269.41502095483713,20045.402365370628
330.49999999999943,10216.576684393523,269.4686545632826,20045.121443597513
330.59999999999945,10219.935876719877,269.52567538367197,20044.840546834126
330.6999999999995,10223.29450755763,269.58273241699953,20044.559672579973
330.7999999999995,10226.652546616917,269.6398257016118,20044.278823336605
330.8999999999995,10230.010022530083,269.6969552759124,20043.99799660342
330.99999999999955,10233.366923577987,269.75075747190436,20043.71719488208
331.09999999999957,10236.723259868599,269.80795760073687,20043.436415671877
331.1999999999996,10240.079001129368,269.8651941325396,20043.155661474575
331.2999999999996,10243.434175963957,269.9224671059413,20042.874929789363
331.39999999999964,10246.788754108713,269.9797765596279,20042.59422311811
331.49999999999966,10250.1427829717,270.0337482282284,20042.3135389599
331.5999999999997,10253.496213531187,270.0911286072377,20042.03287981671
331.6999999999997,10256.84907436191,270.14854558064843,20041.752243187515
331.7999999999997,10260.201364618535,270.20599918737383,20041.471629072767
331.89999999999975,10263.553073085191,270.2601066694185,20041.191039974598
331.9999999999998,10266.904209341517,270.3176314991751,20040.91047339183
332.0999999999998,10270.254743154635,270.37519307703394,20040.629931826697
332.1999999999998,10273.604703062545,270.4327914421376,20040.349412777923
332.29999999999984,10276.95407807507,270.48703530818153,20040.06891874785
332.39999999999986,10280.302877534888,270.5447051957771,20039.78844723508
332.4999999999999,10283.65107122691,270.6024119860812,20039.508000742073
332.5999999999999,10286.998707049635,270.65675800500264,20039.227576767327
332.69999999999993,10290.345735460252,270.71453654242674,20038.9471778134
332.79999999999995,10293.692184952752,270.7723520985312,20038.666801378688
332.9,10297.038044876615,270.8268005913596,20038.38644996586
333.0,10300.383324217888,270.8846881202009,20038.1061210732
333.1,10303.728022112206,270.9426127842053,20037.825814701166
333.20000000000005,10307.072128080556,270.9971640733843,20037.545533352575
333.30000000000007,10310.415650928899,271.055160936737,20037.265274525562
333.4000000000001,10313.75858029157,271.1097802488326,20036.985040723055
333.5000000000001,10317.100924855502,271.1678494616448,20036.704829443082
333.60000000000014,10320.442654454893,271.22595600411694,20036.424643188675
333.70000000000016,10323.783817484997,271.28067865096347,20036.14447945776
333.8000000000002,10327.124363875086,271.33885777116996,20035.86434075347
333.9000000000002,10330.464342110912,271.39364879757954,20035.584224573624
334.0000000000002,10333.803731295686,271.4519006467345,20035.304130918677
334.10000000000025,10337.142521465857,271.50676019523377,20035.024062291926
334.2000000000003,10340.48072088608,271.5650849249927,20034.744016191027
334.3000000000003,10343.818319707956,271.62001313852466,20034.463995119386
334.4000000000003,10347.155326075206,271.67841090098614,20034.183996574553
334.50000000000034,10350.49173910255,271.7368463458594,20033.904020556984
334.60000000000036,10353.827549117357,271.79187887061903,20033.624069570236
334.7000000000004,10357.162764078752,271.8503875794955,20033.34414111171
334.8000000000004,10360.497374430272,271.90548913066146,20033.06423768507
334.90000000000043,10363.831388009028,271.9640712567615,20032.784356787608
335.00000000000045,10367.164824584457,272.0192419787524,20032.504498419774
335.1000000000005,10370.497654166891,272.0744462902246,20032.224665085392
335.2000000000005,10373.82988441133,272.1331377134034,20031.9448542816
335.3000000000005,10377.16150605188,272.18841141092184,20031.665068512324
335.40000000000055,10380.492526620455,272.24717663400145,20031.385305274594
335.50000000000057,10383.822966147465,272.30251986303966,20031.10556456886
335.6000000000006,10387.152773684027,272.36135904081266,20030.825848899214
335.7000000000006,10390.481998544732,272.41677194727157,20030.546155762524
335.80000000000064,10393.810589681521,272.47568523498535,20030.266487662986
335.90000000000066,10397.138596502575,272.53116796519487,20029.98684209736
336.0000000000007,10400.46601820944,272.58668460214585,20029.707219066106
336.1000000000007,10403.792803606102,272.64570821927407,20029.42762107357
336.2000000000007,10407.119002240353,272.7012948980482,20029.14804561636
336.30000000000075,10410.444613309677,272.75691558952695,20028.86849269493
336.4000000000008,10413.769585469347,272.81604988086445,20028.588964813793
336.5000000000008,10417.09396840747,272.8717408331937,20028.309459469394
336.6000000000008,10420.417732207048,272.9274659046549,20028.02997916635
336.70000000000084,10423.740883594526,272.98671121650693,20027.750521401005
336.80000000000086,10427.063443288785,273.04250676880594,20027.471086173813
336.9000000000009,10430.385381387578,273.09833654713134,20027.191675989547
337.0000000000009,10433.706704429387,273.1576932273219,20026.912288344392
337.10000000000093,10437.02743329369,273.2135937074379,20026.63292323881
337.20000000000095,10440.347538093076,273.2695285209439,20026.353583177723
337.300000000001,10443.667025177076,273.32899691882466,20026.074265657164
337.400000000001,10446.98591558659,273.3850026560452,20025.794970677587
337.500000000001,10450.304179449136,273.4410428344914,20025.51570074408
337.60000000000105,10453.621822924293,273.5006233009503,20025.236453352514
337.70000000000107,10456.938867215216,273.5567346260113,20024.957228503346
337.8000000000011,10460.255282464435,273.6128805006086,20024.67802870182
337.9000000000011,10463.571096887777,273.6690609602121,20024.39885144365
338.00000000000114,10466.886309659276,273.7252760403429,20024.119696729293
338.10000000000116,10470.200868579388,273.7850425365911,20023.84056706415
338.2000000000012,10473.51482414262,273.8413291339605,20023.561459943783
338.3000000000012,10476.828175518769,273.8976504609584,20023.282375368646
338.4000000000012,10480.140892880238,273.9540065533139,20023.003315844297
338.50000000000125,10483.452981815068,274.0139230339754,20022.72427886614
338.6000000000013,10486.764464014572,274.07035094294133,20022.445264434627
338.7000000000013,10490.07530966643,274.12681372700615,20022.16627505548
338.8000000000013,10493.38554691613,274.1833114221087,20021.887308223937
338.90000000000134,10496.695174925017,274.23984406423983,20021.608363940457
339.00000000000136,10500.004192853026,274.2964116894422,20021.329442205497
339.1000000000014,10503.312570907845,274.35301433381056,20021.05054552498
339.2000000000014,10506.620314228934,274.41319305449406,20020.771671393948
339.30000000000143,10509.927444890622,274.46986804011027,20020.49281981285
339.40000000000146,10513.233933116078,274.5265781557577,20020.213993287773
339.5000000000015,10516.539806995484,274.5833234377437,20019.935189313597
339.6000000000015,10519.845065680203,274.64010392242795,20019.656407890776
339.7000000000015,10523.149708320168,274.69691964622314,20019.377649019767
339.80000000000155,10526.453705158832,274.7537706455945,20019.09891520686
339.90000000000157,10529.75708425475,274.8106569570601,20018.82020394673
340.0000000000016,10533.059844753572,274.867578617191,20018.541515239827
340.1000000000016,10536.36195691401,274.9245356626112,20018.262851592608
340.20000000000164,10539.663448770798,274.9815281299981,20017.98421049958
340.30000000000166,10542.96429586444,275.04212147964137,20017.705591961203
340.4000000000017,10546.264520878365,275.09918712089643,20017.426995977934
340.5000000000017,10549.564094092275,275.1562882967739,20017.14842505643
340.6000000000017,10552.863043508214,275.2134250441679,20016.869876691
